brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,MAVIC 2,ทั่วไป,ทั่วไป,31,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 2
DJI,PHANTOM 3,ทั่วไป,ทั่วไป,30,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 3
FIMI,FIMI X8 SE,ทั่วไป,ทั่วไป,30,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,FIMI X8 SE
TYI,TYI8-16L,เกษตร,เกษตร-ไม่ใช่ DJI,30,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TYI8-16L
SJ R/C,F22S 4K PRO,ทั่วไป,ทั่วไป,29,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F22S 4K PRO
DJI,AVATA FLY SMART,ทั่วไป,ทั่วไป,29,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI AVATA FLY SMART COMBO (DJI FPV GOGGLES V2)
SJRC,F11S 4K PRO,ทั่วไป,ทั่วไป,29,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,F11S 4K PRO
POTENSIC,ATOM 2,ทั่วไป,ทั่วไป,28,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ATOM 2
DJI,MAVIC MINI 4 PRO,ทั่วไป,ทั่วไป,28,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC MINI 4 PRO
DJI,MAVIC 3 PRO CINE,ทั่วไป,ทั่วไป,28,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 PRO CINE ;; DJI MAVIC 3 PRO CINE
AGRITECH DRONE,AG-1P,เกษตร,เกษตร-ไม่ใช่ DJI,28,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AG-1P
เจ้าเอี้ยง,A410-02A,เกษตร,เกษตร-ไม่ใช่ DJI,28,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,A410-02A
YUNEEC,TYPHOON H,ทั่วไป,ทั่วไป,27,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TYPHOON H
DJI,PHANTOM4 PROOBSIDIAN,ทั่วไป,ทั่วไป,27,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM4 PROOBSIDIAN (EU)
SB1,RP08 4-16,เกษตร,เกษตร-ไม่ใช่ DJI,27,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RP08 4-16
DJI,TELLO BOOST,ทั่วไป,ทั่วไป,27,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TELLO BOOST (TLW004) ;; TLW004
DJI,MAVIC MINI 3,ทั่วไป,ทั่วไป,26,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC MINI 3
HUBSAN,ACE 2,ทั่วไป,ทั่วไป,26,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ACE 2
SEGUMO,SG10L,เกษตร,เกษตร-ไม่ใช่ DJI,26,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,SG10L
DRONE THAI,DT616,เกษตร,เกษตร-ไม่ใช่ DJI,26,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DT616
HG ROBOTICS,TGD1X-LITE,เกษตร,เกษตร-ไม่ใช่ DJI,25,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TGD1X-LITE
เจ้าเอี้ยง,A630-02A,เกษตร,เกษตร-ไม่ใช่ DJI,25,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,A630-02A
HUBSAN,ZINO 2+,ทั่วไป,ทั่วไป,25,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZINO 2+
EAVISION,EA-J150,เกษตร,เกษตร-ไม่ใช่ DJI,24,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EA-J150
BUG AWAY,B17,เกษตร,เกษตร-ไม่ใช่ DJI,23,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,B17
A4 ROBOTICS,NAM-OIL2,เกษตร,เกษตร-ไม่ใช่ DJI,22,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,NAM-OIL2
-,(ไม่ระบุ),ทั่วไป,ทั่วไป,22,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
SEGUMO,SG16L,เกษตร,เกษตร-ไม่ใช่ DJI,22,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,SG16L
MAKER DRONE,MD417,เกษตร,เกษตร-ไม่ใช่ DJI,22,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MD417
XAG,3WWDZ-15.2AT,เกษตร,เกษตร-ไม่ใช่ DJI,22,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,V40 (3WWDZ-15.2AT)
DELTA,2IN1,ทั่วไป,ทั่วไป,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,2IN1
DJI,P4 MULTISPECTRAL,ทั่วไป,ทั่วไป,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,P4 MULTISPECTRAL
AUTEL ROBOTICS,NANO+,ทั่วไป,ทั่วไป,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,NANO+
DJI,MAVIC 3 THEMAL,ทั่วไป,ทั่วไป,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3 THEMAL
AONIC,MIST 25020,เกษตร,เกษตร-ไม่ใช่ DJI,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MIST 25020
DJI,MAVIC 2 ENTERPRISE DUAL,ทั่วไป,ทั่วไป,21,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L1DE / MAVIC 2 ENTERPRISE DUAL ;; L1DE (MAVIC 2 ENTERPRISE DUAL) ;; L1DE(MAVIC 2 ENTERPRISE DUAL)
DJI,MAVIC 3E,ทั่วไป,ทั่วไป,20,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3E (M3E) ;; MAVIC 3E
DJI,SPARKFLYMORE LAVA RED,ทั่วไป,ทั่วไป,20,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARKFLYMORE COMBO (EU) LAVA RED
NAC DRONE,NT06P,เกษตร,เกษตร-ไม่ใช่ DJI,20,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,NT06P
HUBSAN,ZINO 2 PLUS,ทั่วไป,ทั่วไป,20,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ZINO 2 PLUS
DJI,MAVIC 3M,ทั่วไป,ทั่วไป,19,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 3M ;; MAVIC 3M (M3M)
DJI,INSPIRE 3,ทั่วไป,ทั่วไป,19,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,INSPIRE 3 ;; DJI INSPIRE 3 ;; T740 / DJI INSPIRE 3
DJI,T740,ทั่วไป,ทั่วไป,19,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,T740
CHEERSON,CX-23,ทั่วไป,ทั่วไป,19,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CX-23
EAVISION,3WWDZ-45A,เกษตร,เกษตร-ไม่ใช่ DJI,18,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,EA-J100 (3WWDZ-45A)
SB1,RP08 4-10,เกษตร,เกษตร-ไม่ใช่ DJI,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,RP08 4-10
GEPRC,CINEBOT30,ทั่วไป,ทั่วไป,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CINEBOT30
YUNEEC,TYPHOON Q500 4K,ทั่วไป,ทั่วไป,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,TYPHOON Q500 4K
DJI,4 MINI PRO,ทั่วไป,ทั่วไป,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,4 MINI PRO ;; DJI 4 MINI PRO ;; 4 MINI PRO FLY MORE COMBO
DJI,MAVIC MINI2,ทั่วไป,ทั่วไป,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC MINI2
JOUAV,CW-15,ทั่วไป,ทั่วไป,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,CW-15
MABIN,X4,เกษตร,เกษตร-ไม่ใช่ DJI,18,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,X4
ANTIGRAVITY,A1,ทั่วไป,ทั่วไป,17,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,A1
DJI,MAVIC,ทั่วไป,ทั่วไป,17,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC
DJI,L1ZE,ทั่วไป,ทั่วไป,17,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,L1ZE
DJI,PHANTOM4 ADVANCED,ทั่วไป,ทั่วไป,16,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM4 ADVANCED (EU)
HUBSAN,ACE SE,ทั่วไป,ทั่วไป,15,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,ACE SE
FLYWOO,EXPLORER LR4,ทั่วไป,ทั่วไป,15,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,EXPLORER LR4
DJI,SPARK ALPINE WHITE,ทั่วไป,ทั่วไป,15,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARK ALPINE WHITE (EU)
DJI MINI 2 (GL),MT2PD,ทั่วไป,ทั่วไป,14,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,MT2PD
