brand,model_final,class,group,units,reason,resolved_via,sample_raw
DJI,MAVIC 2 ENTERPRISE,ทั่วไป,ทั่วไป,37,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MAVIC 2 ENTERPRISE ;; L1ZE/MAVIC 2 ENTERPRISE ;; L1TE / MAVIC 2 ENTERPRISE
DJI,SPARKFLYMORE BLUE SKY,ทั่วไป,ทั่วไป,37,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,SPARKFLYMORE COMBO (EU) BLUE SKY
AGDRONE,T20TH,เกษตร,เกษตร-ไม่ใช่ DJI,37,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,T20TH
PARROT,BEBOP 2,ทั่วไป,ทั่วไป,36,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,BEBOP 2
DJI,PHANTOM 1,ทั่วไป,ทั่วไป,34,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,PHANTOM 1
HUBSAN,H109S,ทั่วไป,ทั่วไป,34,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,H109S
DJI,(ไม่ระบุ),ทั่วไป,ทั่วไป,34,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นว่าง,ว่าง,-
เจ้าเอี้ยง,NB-1B,เกษตร,เกษตร-ไม่ใช่ DJI,34,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,NB-1B
DJI,MAVIC 3 CINE PREMIUM,ทั่วไป,ทั่วไป,33,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI MAVIC 3 CINE PREMIUM COMBO (EU) ;; L2P / MAVIC 3 CINE PREMIUM COMBO (EU) ;; DJI MAVIC 3 CINE PREMIUM COMBO
DJI,AIR 2,ทั่วไป,ทั่วไป,33,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,AIR 2
DJI,MINI 4,ทั่วไป,ทั่วไป,32,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,MINI 4 ;; MINI4
ANTIGRAVITY,DE001,ทั่วไป,ทั่วไป,31,ยังไม่รู้ว่าเป็นรุ่นอะไร — ช่องรุ่นเป็นรหัสที่ยังถอดไม่ได้,รหัสที่ถอดไม่ได้,DE001
DJI,MINI 3 DISPLAY UNIT,ทั่วไป,ทั่วไป,31,รู้รุ่นแล้ว แต่ยังไม่มีหลักฐานราคา,ชื่อในช่องเอง,DJI MINI 3 (DJI RC) DISPLAY UNIT
